PPU,Component,Primary_Resources_Manufacturing,Primary_Resources_Operation,Technology_Source,Production_Dataset_Source,Source_URL
H2P_L,H2-to-power CCGT (liquid H2),"Nickel-base superalloys, steels, copper, cryogenic materials",Liquid hydrogen fuel,DMS Gas Turbine Materials,EI + USGS (turbine alloys),https://d-m-s.dk/wp-content/uploads/2024/08/17-VM-2008-K.-V.-Dahl-Materialer-til-Gasturbiner.pdf
NH3_FULL,Ammonia synthesis (Haber-Bosch),"Steels/alloys, iron-based catalysts",Hydrogen + nitrogen + electricity,IEA Critical Minerals,EI (gas for H2) + USGS (catalysts),https://www.iea.org/reports/the-role-of-critical-minerals-in-clean-energy-transitions
NH3_P,Ammonia cracking (to H2),"Steels/alloys, nickel-based catalysts",Ammonia feedstock,IEA Critical Minerals,FAOSTAT / EI / USGS,https://www.iea.org/reports/the-role-of-critical-minerals-in-clean-energy-transitions
SYN_METH,Methanation (Sabatier) + DAC,"Steels, nickel catalysts, DAC sorbents/chemicals",CO2 (from air) + H2 + electricity,IEA Critical Minerals,USGS MCS (Ni/metals),https://www.iea.org/reports/the-role-of-critical-minerals-in-clean-energy-transitions
SYN_FT,Fischer-Tropsch synthesis,"Steels/alloys, cobalt or iron catalysts",H2 + carbon feed (CO/CO2) + energy,IEA Critical Minerals,USGS MCS (Co/Fe/Ni/Mo),https://www.iea.org/reports/the-role-of-critical-minerals-in-clean-energy-transitions
SYN_CRACK,Hydrocracking / refining,"Steels/alloys, Ni/Co/Mo hydroprocessing catalysts",H2 + carbon feed + energy,IEA Critical Minerals,USGS MCS (Ni/Co/Mo),https://www.iea.org/reports/the-role-of-critical-minerals-in-clean-energy-transitions
BIO_OIL_ICE,ICE generator (bio-oil),"Steels, copper, PGMs (aftertreatment catalysts)",Bio-oil fuel,PGMs in Catalysts Review,FAOSTAT (biomass) + EI,https://www.sciencedirect.com/science/article/pii/S2405844024013148
PALM_ICE,ICE generator (palm oil),"Steels, copper, PGMs (aftertreatment catalysts)",Palm oil fuel,PGMs in Catalysts Review,FAOSTAT (palm oil),https://data.un.org/Data.aspx?d=FAO&f=itemCode%3A254
BIO_WOOD,Biomass gasification plant,"Steels/iron, refractory materials, copper",Wood/biomass fuel,IEA Biomass,FAOSTAT (forestry),https://data.un.org/Data.aspx?d=FAO
IMP_BIOG,Biogas upgrading + ICE/turbine,"Steels, copper, membrane/adsorbent materials",Biogas (imported),IEA Biogas,FAOSTAT + EI,https://www.energyinst.org/statistical-review
CH4_BIO,Biogas-to-methane upgrading,"Steels/alloys, membrane or PSA materials",Biogas feedstock,IEA Critical Minerals,FAOSTAT (biomass),https://data.un.org/Data.aspx?d=FAO
PHS,Pump-turbine + motor-generator,"Steels/iron, copper, electrical steels",Electricity (charging),IEA Electricity Minerals,USGS MCS (Fe/Cu),https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf

