key,category,default_value,unit,lower_bound,upper_bound,notes
power_electronics_future_capex_chf_per_kw,future_costs,200.0,CHF/kW,,,Converters/inverters assumed future CAPEX
dac_future_cost_chf_per_ton_co2,future_costs,200.0,CHF/tCO2,,,Assumed future DAC cost
h2_liquefaction_future_cost_chf_per_kg,future_costs,2000.0,CHF/kg,,,Assumed future LH2 liquefaction cost
h2_future_cost_chf_per_kg_default,future_costs,6.0,CHF/kg,5.0,7.0,Implied future H2 cost (range 5–7)
syn_oil_future_cost_chf_per_kg_default,future_costs,2.5,CHF/kg,2.3,2.7,Implied future synthetic oil cost (range)
pv_hyd_pv_active_area_km2_per_ppu,ppu_params,51.0,km^2,,,Active PV area per PV-HYD PPU
pv_h2_pv_active_area_km2_per_ppu,ppu_params,83.0,km^2,,,Active PV area per PV-H2 PPU
bio_sf_pv_active_area_km2_per_ppu,ppu_params,89.0,km^2,,,Active PV area per Bio-SF PPU
imp_sf_pv_active_area_km2_per_ppu,ppu_params,62.0,km^2,,,Active PV area per Imp-SF PPU (abroad)
imp_psf_pv_active_area_km2_per_ppu,ppu_params,5.6,km^2,,,Active PV area per Imp-PSF PPU (abroad)
imp_h2_pv_active_area_km2_per_ppu,ppu_params,113.0,km^2,,,Active PV area per Imp-H2 PPU (abroad)
bio_sf_biomass_mass_mt_per_year,ppu_params,1.5,Mt/year,,,Dry biomass input per Bio-SF PPU
bio_sf_plantation_area_km2,ppu_params,7500.0,km^2,,,Local plantation area for Bio-SF PPU
imp_psf_plantation_area_km2,ppu_params,2350.0,km^2,,,Plantation area for Imp-PSF PPU
imp_sf_dac_co2_mt_per_year,ppu_params,2.3,Mt/year,,,CO2 captured per Imp-SF PPU via DAC
imp_h2_h2_cost_today_chf_per_kg,ppu_params,19.4,CHF/kg,,,Reference current cost of imported H2
imp_h2_annual_h2_mass_for_1gw_tonnes,ppu_params,448000.0,t/year,,,H2 consumption for 1 GW CCPP continuous
h2_reserve_storage_mass_tonnes,ppu_params,112000.0,t,,,Reserve LH2 storage mass (≈3 months)
h2_liquid_vs_200bar_volume_ratio,ppu_params,4.0,dimensionless,,,Liquid storage is 4× more compact than 200 bar
pv_field_to_active_area_factor,ppu_params,2.25,ratio,2.0,2.5,Field area ≈2–2.5× active PV area
hydrolake_storage_density_kwh_per_m3_mid,storage_phys,2.5,kWh/m^3,1.0,4.0,Electricity storage density for 500–1800 m head
excavation_energy_kwh_per_m3,storage_phys,30.0,kWh/m^3,,,Energy to excavate valley (order of magnitude)
lcoe_nuc_chf_per_kwh_ex_grid,lcoe,0.08,CHF/kWh,,,Electricity LCOE at PPU (ex-grid)
lcoe_pv_hyd_chf_per_kwh_ex_grid,lcoe,0.24,CHF/kWh,,,Electricity LCOE at PPU (ex-grid)
lcoe_pv_h2_chf_per_kwh_ex_grid,lcoe,0.44,CHF/kWh,,,Electricity LCOE at PPU (ex-grid)
lcoe_bio_sf_to_power_chf_per_kwh_ex_grid,lcoe,0.47,CHF/kWh,,,Electricity LCOE if synthetic fuel used for power
lcoe_imp_h2_chf_per_kwh_ex_grid,lcoe,1.02,CHF/kWh,,,Electricity LCOE at PPU (ex-grid)
lcoe_imp_sf_to_power_chf_per_kwh_ex_grid,lcoe,2.2,CHF/kWh,,,Electricity LCOE if synfuel (PV+DAC) used for power
lcoe_imp_psf_to_power_chf_per_kwh_ex_grid,lcoe,0.35,CHF/kWh,,,Electricity LCOE if palm synfuel used for power
capex_nuc_bchf,capex,10.0,BCHF,8,12,Initial CAPEX range
capex_pv_hyd_bchf,capex,32.0,BCHF,,,Initial CAPEX
capex_pv_h2_bchf,capex,84.0,BCHF,,,Initial CAPEX
capex_bio_sf_bchf,capex,60.0,BCHF,,,Initial CAPEX
capex_imp_h2_bchf_local,capex,7.0,BCHF,,,Local CAPEX (excl. abroad infra)
capex_imp_h2_bchf_abroad,capex,106.0,BCHF,,,Abroad CAPEX
capex_imp_sf_bchf_local,capex,5.0,BCHF,,,Local CAPEX
capex_imp_sf_bchf_abroad,capex,57.0,BCHF,,,Abroad CAPEX
capex_imp_psf_bchf_local,capex,4.0,BCHF,,,Local CAPEX
capex_imp_psf_bchf_abroad,capex,10.0,BCHF,,,Abroad CAPEX
