Resource,Category,PPUs_Dependent,Components_Using,Criticality,Primary_Producers,Production_Dataset,Source_URL
Iridium,Critical Mineral,H2_G,PEM electrolyser anode catalyst,Extreme,"South Africa,Zimbabwe (PGM byproduct)",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Sodium Nitrate,Chemical,"SOL_SALT,SOL_SALT_STORE",Molten salt TES (60% of solar salt),Medium,"Chile,synthetic production globally",USGS MCS,https://docs.nrel.gov/docs/fy15osti/64429.pdf
Potassium Nitrate,Chemical,"SOL_SALT,SOL_SALT_STORE",Molten salt TES (40% of solar salt),Medium,"Chile,Israel,synthetic production",USGS MCS,https://docs.nrel.gov/docs/fy15osti/64429.pdf
Natural Gas,Fossil Fuel,THERM,"CCGT fuel,pipeline transport",High (geopolitical),"USA,Russia,Iran,Qatar,China",EI Statistical Review,https://www.energyinst.org/statistical-review
Methane,Energy Carrier,THERM_CH4,Methane thermal plant fuel,High (geopolitical),"USA,Russia,Iran,Qatar,Canada",EI Statistical Review,https://www.energyinst.org/statistical-review
Hydrogen,Energy Carrier,"H2P_G,H2P_L",H2-to-power fuel,Low (produced domestically),Produced from electrolysis or reforming,IEA Electrolysers,https://www.iea.org/energy-system/low-emission-fuels/electrolysers
Ammonia,Chemical Intermediate,"NH3_P",Ammonia cracking feedstock,Medium,"China,Russia,India,USA,Saudi Arabia",FAOSTAT / EI,https://data.un.org/Data.aspx?d=FAO
Biomass/Wood,Biofuel,"BIO_WOOD,THERM_M",Solid biomass fuel,Low (domestic),"USA,Brazil,EU,China,India",FAOSTAT,https://data.un.org/Data.aspx?d=FAO
Bio-oil,Biofuel,BIO_OIL_ICE,Liquid biofuel for ICE,Medium,Processed from biomass,FAOSTAT,https://data.un.org/Data.aspx?d=FAO
Palm Oil,Biofuel,PALM_ICE,Palm oil ICE fuel,Medium (land use),"Indonesia,Malaysia,Thailand,Colombia,Nigeria",FAOSTAT,https://data.un.org/Data.aspx?d=FAO&f=itemCode%3A254
Biogas,Biofuel,"IMP_BIOG,CH4_BIO",Biogas fuel/feedstock,Low (domestic),Produced from organic waste,FAOSTAT / EI,https://www.energyinst.org/statistical-review
Glass/Silica,Industrial,"PV,SOL_STEAM,SOL_SALT_STORE","PV modules,mirrors,solar collectors",Low,Widely available globally,USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Titanium,Specialty Metal,H2_G,PEM electrolyser bipolar plates,Medium,"China,Japan,Russia,Kazakhstan,USA",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Chromium,Alloy Metal,"THERM,THERM_CH4,H2P_G,H2P_L",Superalloy component,Medium,"South Africa,Kazakhstan,India,Turkey,Finland",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Molybdenum,Catalyst/Alloy,"SYN_FT,SYN_CRACK",Hydroprocessing catalysts,Medium,"China,Chile,USA,Peru,Mexico",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Water,Utility,"H2_G,SOL_SALT,SOL_STEAM","Electrolysis input,steam cycle working fluid",Low (location dependent),Local supply,N/A,N/A
Electricity,Energy Input,"H2_G,NH3_FULL,SYN_METH,PHS","Electrolysis,synthesis,storage charging",Low (grid dependent),Local grid,N/A,N/A

